Date;Open;High;Low;Close;Volume
2019.05.31;7198.10;7198.90;7192.00;7194.40;500
2019.05.31;7194.60;7197.90;7187.60;7191.50;727
2019.05.31;7191.40;7192.90;7187.40;7187.60;622
2019.05.31;7187.80;7194.60;7187.80;7190.50;535
2019.05.31;7190.30;7190.60;7182.40;7187.40;737
2019.05.31;7187.30;7189.50;7183.10;7183.30;764
2019.05.31;7183.40;7185.60;7178.90;7182.90;814
2019.05.31;7182.80;7187.60;7179.30;7185.60;771
2019.05.31;7185.40;7185.50;7175.10;7175.30;722
2019.05.31;7175.50;7181.10;7156.50;7160.10;2004
2019.05.31;7160.00;7168.10;7157.30;7165.90;1511
2019.05.31;7166.00;7167.10;7159.10;7166.50;1417
2019.05.31;7166.60;7167.00;7142.40;7149.10;1461
2019.05.31;7149.30;7162.90;7149.00;7159.10;1459
2019.05.31;7159.30;7162.00;7153.00;7153.30;1335
2019.05.31;7153.10;7162.90;7152.90;7155.40;1256
2019.05.31;7155.50;7157.40;7149.50;7152.00;1323
2019.05.31;7152.40;7158.80;7149.80;7156.30;1228
2019.05.31;7156.10;7159.90;7141.40;7145.90;1737
2019.05.31;7145.80;7147.40;7130.00;7134.40;1526
2019.05.31;7134.60;7136.80;7127.40;7133.10;1237
2019.05.31;7133.30;7141.80;7132.60;7140.10;904
2019.05.31;7139.80;7141.90;7128.50;7140.40;1078
2019.05.31;7140.10;7142.80;7131.60;7139.50;1224
2019.05.31;7139.40;7146.60;7136.50;7144.80;1121
2019.05.31;7144.60;7149.80;7143.80;7146.10;1187
2019.05.31;7146.00;7152.80;7142.10;7151.10;1083
2019.05.31;7151.30;7156.30;7151.10;7152.90;1046
2019.05.31;7152.80;7152.80;7147.30;7149.90;887
2019.05.31;7149.50;7153.30;7141.80;7145.90;1052
2019.05.31;7146.00;7147.30;7140.80;7145.60;883
2019.05.31;7145.50;7158.60;7143.60;7155.40;1432
2019.05.31;7155.30;7161.40;7154.30;7155.30;1054
2019.05.31;7155.90;7157.00;7149.90;7150.90;951
2019.05.31;7150.80;7160.50;7150.80;7157.80;1162
2019.05.31;7157.40;7164.00;7133.90;7138.30;2850
2019.05.31;7138.40;7147.60;7127.00;7143.50;2747
2019.05.31;7144.00;7154.80;7137.80;7142.50;2688
2019.05.31;7142.30;7160.30;7140.30;7156.80;2639
2019.05.31;7157.10;7163.00;7149.10;7149.80;2526
2019.05.31;7149.60;7174.80;7146.80;7169.50;2478
2019.05.31;7169.80;7176.00;7163.80;7171.50;2393
2019.05.31;7171.30;7182.00;7169.40;7181.30;2182
2019.05.31;7181.50;7182.40;7166.80;7171.10;2032
2019.05.31;7171.30;7179.30;7162.00;7169.00;1926
2019.05.31;7168.80;7171.00;7155.50;7160.10;1881
2019.05.31;7160.40;7160.60;7149.30;7153.00;1700
2019.05.31;7152.80;7159.30;7146.50;7149.40;1789
2019.05.31;7149.50;7155.80;7142.90;7150.60;1734
2019.05.31;7150.80;7163.60;7147.40;7162.60;1720
2019.05.31;7162.80;7165.00;7156.80;7165.00;1701
2019.05.31;7164.50;7171.00;7161.50;7164.50;1546
2019.05.31;7165.00;7172.30;7159.30;7168.30;1412
2019.05.31;7168.40;7171.00;7148.10;7150.00;2001
2019.05.31;7149.80;7152.90;7142.40;7143.60;1961
2019.05.31;7143.80;7149.00;7135.00;7148.10;1728
2019.05.31;7147.80;7155.80;7144.40;7147.50;1917
2019.05.31;7147.40;7148.90;7135.80;7145.10;1813
2019.05.31;7145.30;7147.50;7129.00;7137.90;1825
2019.05.31;7137.50;7141.00;7124.50;7129.10;2107
2019.05.31;7129.00;7139.50;7124.80;7124.80;2043
2019.05.31;7124.30;7133.80;7122.30;7127.90;1063
2019.05.31;7125.80;7128.10;7123.80;7127.40;252
2019.05.31;7127.30;7131.90;7127.10;7130.30;209
2019.06.03;7100.30;7102.40;7088.70;7092.20;959
2019.06.03;7092.10;7093.60;7071.80;7082.10;794
2019.06.03;7082.30;7086.10;7074.30;7078.90;658
2019.06.03;7079.10;7082.40;7075.60;7078.60;500
2019.06.03;7078.80;7086.10;7077.30;7083.80;446
2019.06.03;7083.70;7085.80;7080.80;7084.80;402
2019.06.03;7084.60;7084.80;7077.60;7077.80;461
2019.06.03;7077.70;7079.30;7073.90;7076.30;619
2019.06.03;7076.10;7084.60;7070.90;7079.30;1308
2019.06.03;7079.20;7083.30;7076.60;7081.10;907
2019.06.03;7081.20;7087.80;7079.30;7084.60;876
2019.06.03;7084.40;7087.60;7084.10;7086.10;575
2019.06.03;7086.30;7086.70;7077.60;7080.80;853
2019.06.03;7080.40;7087.70;7080.10;7086.70;960
2019.06.03;7086.60;7089.60;7080.20;7084.90;1390
2019.06.03;7085.20;7092.70;7083.90;7084.20;1537
2019.06.03;7084.30;7085.70;7079.90;7080.20;1252
2019.06.03;7079.90;7082.40;7076.40;7077.80;994
2019.06.03;7078.10;7082.60;7077.40;7081.80;742
2019.06.03;7081.90;7082.90;7076.90;7078.40;734
2019.06.03;7078.30;7080.70;7075.10;7076.20;780
2019.06.03;7076.40;7078.20;7071.90;7076.20;758
2019.06.03;7075.90;7078.60;7074.90;7077.80;527
2019.06.03;7077.90;7079.10;7074.60;7075.40;478
2019.06.03;7075.90;7076.70;7073.30;7073.90;354
2019.06.03;7074.10;7074.70;7070.90;7071.90;402
2019.06.03;7071.80;7073.70;7071.20;7072.30;336
2019.06.03;7072.40;7072.70;7064.20;7064.40;463
2019.06.03;7064.60;7073.90;7064.60;7073.20;853
2019.06.03;7072.90;7077.20;7071.90;7074.80;653
2019.06.03;7074.90;7079.80;7074.70;7079.70;727
2019.06.03;7079.60;7082.30;7078.70;7080.60;594
2019.06.03;7080.40;7089.10;7080.40;7083.20;950
2019.06.03;7083.30;7083.70;7078.60;7078.90;678
2019.06.03;7079.20;7093.40;7079.10;7089.90;896
2019.06.03;7090.10;7091.70;7085.10;7087.30;782
2019.06.03;7087.60;7090.20;7073.20;7075.40;1678
2019.06.03;7075.30;7080.40;7069.40;7070.20;1502
2019.06.03;7070.10;7074.20;7064.30;7067.80;1490
2019.06.03;7067.90;7073.90;7061.90;7069.10;1401
2019.06.03;7069.20;7075.90;7068.70;7071.40;1277
2019.06.03;7071.30;7079.60;7071.30;7076.60;922
2019.06.03;7076.40;7078.60;7067.70;7076.80;1271
2019.06.03;7077.20;7085.20;7074.40;7083.20;1016
2019.06.03;7083.10;7092.60;7081.90;7091.10;1150
2019.06.03;7090.80;7094.90;7086.60;7090.80;1090
2019.06.03;7090.90;7094.30;7087.40;7091.30;931
2019.06.03;7091.20;7095.60;7089.80;7092.10;826
2019.06.03;7091.90;7101.20;7091.90;7099.70;1063
2019.06.03;7099.40;7099.70;7088.40;7088.60;912
2019.06.03;7089.40;7090.90;7084.10;7085.30;917
2019.06.03;7085.20;7089.40;7084.30;7086.70;675
2019.06.03;7087.40;7091.30;7085.40;7085.90;886
2019.06.03;7085.70;7099.10;7085.70;7098.20;944
2019.06.03;7098.10;7100.90;7091.60;7092.60;912
